"","CODE_IRIS","NB_NIV","n","poidsFitAIC","poidsFitCHI2"
"225",341720702,2,111,0.240962245945706,0.146632006639552
"226",341720702,3,16,0.097573540341891,0.091928233217028
"227",341720702,4,5,0.0395107363706919,0.0576327110027069
"228",341720702,5,11,0.0159991969450359,0.0361317656315653
"229",341720702,6,0,0.00647860117018525,0.0226521443281237
"230",341720702,7,3,0.00262339874098171,0.0142013442657195
"231",341720702,8,0,0.0010623004524274,0.00890327096773305
"232",341720702,9,0,0.000430160399789304,0.00558174159021152
"233",341720702,10,0,0.000174186096903259,0.00349936998354998
"234",341720702,11,1,7.05336808531249e-05,0.00219386549589562
"235",341721402,1,7,0.171792749323335,0.171792749323335
"236",341721402,2,2,0.247023158248356,0.247023158248356
"237",341721402,3,0,0.236798665645444,0.236798665645444
"238",341721402,4,7,0.170248029928899,0.170248029928899
"239",341721402,5,5,0.0979207939898418,0.0979207939898418
"240",341721401,1,238,0.51806080034116,0.224803161740593
"241",341721401,2,208,0.249673807491037,0.148085737681661
"242",341721401,3,44,0.120327594958006,0.0975492761530937
"243",341721401,4,26,0.0579905848109342,0.0642591341135682
"244",341721401,5,18,0.0279479360315297,0.0423297484088464
"245",341721401,6,6,0.0134692059231519,0.0278840918894035
"246",341721401,7,4,0.00649133832264393,0.018368230611411
"247",341721401,8,1,0.00312843039592977,0.0120997985924078
"248",341721301,1,398,0.681618636894923,0.597711016015337
"249",341721301,2,80,0.191103583564024,0.285113278584324
"250",341721301,3,31,0.0714389301665408,0.0906676520336111
"251",341721301,4,19,0.0300437110031161,0.021624623639346
"252",341721301,5,14,0.0134772390905561,0.00412605234219596
"253",341721301,6,7,0.00629762877984868,0.000656054112758637
"254",341721301,7,1,0.00302682726751929,8.94124102524703e-05
"255",341721301,8,0,0.00148509098211096,1.06626215470965e-05
"256",341721301,9,1,0.000740215046265322,1.13025819655317e-06
"257",341721302,1,271,0.480216556551759,0.229467207106947
"258",341721302,2,227,0.317711850575806,0.147614575233641
"259",341721302,3,55,0.140132361284554,0.0949593760961787
"260",341721302,4,19,0.0463558692654887,0.0610866717890368
"261",341721302,5,2,0.0122676395125924,0.0392966089676285
"262",341721302,6,4,0.00270542834516821,0.0252792210007395
"263",341721302,7,3,0.00051140418357185,0.016261937892164
"264",341721302,8,3,8.45864055175018e-05,0.010461185651285
"265",341721302,9,0,1.243610388497e-05,0.00672960418102352
"266",341721302,10,1,1.64554825332055e-06,0.00432910512659588
"267",341721203,1,140,0.473190421111698,0.218030952985608
"268",341721203,2,137,0.249281246479832,0.147999171280115
"269",341721203,3,16,0.131323748482791,0.100461674820303
"270",341721203,4,27,0.0691826086362525,0.0681932744650189
"271",341721203,5,28,0.0364460609220583,0.046289519765418
"272",341721203,6,3,0.0192001340064869,0.0314212751466008
"273",341721203,7,0,0.0101148145105563,0.0213287270389005
"274",341721203,8,1,0.00532858117283947,0.0144779164746641
"275",341721203,9,0,0.00280714760373569,0.00982759379240275
"276",341721203,10,1,0.0014788322470013,0.00667095986618569
"277",342490000,1,350,0.501264757739645,0.23127851603457
"278",342490000,2,394,0.313850351951396,0.147284281859787
"279",342490000,3,92,0.131004679528626,0.0937945298806346
"280",342490000,4,15,0.0410121239749062,0.0597308397368857
"281",342490000,5,3,0.0102713540858853,0.0380381800539325
"282",342490000,6,2,0.00214368956730506,0.0242237200780868
"283",341640000,1,240,0.620073325597637,0.239669139945286
"284",341640000,2,172,0.2760021484428,0.144194742323654
"285",341640000,3,24,0.0819012664043893,0.0867534456815411
"286",341640000,4,1,0.0182276228912206,0.0521944158041987
"287",342440000,1,448,0.594146473866777,0.238087190989844
"288",342440000,2,410,0.28648337080546,0.145029816081797
"289",342440000,3,48,0.0920903350245377,0.0883443055683628
"290",343370103,1,634,0.627825763308674,0.240116617398935
"291",343370103,2,391,0.272638268374866,0.1439295509782
"292",343370103,3,64,0.0789302061458513,0.0862735610270935
"293",343370103,4,4,0.0171380309503928,0.0517136841024605
"294",343370103,5,2,0.00297692981380422,0.0309979684576743
"295",343370103,6,1,0.000430918383699211,0.0185806535577544
"296",341721303,1,98,0.54820738429734,0.234951873597954
"297",341721303,2,132,0.302064072323836,0.14629767227208
"298",341721303,3,13,0.110958865084496,0.0910952893648908
"299",341720707,1,10,0.170698332013934,0.442619799946548
"300",341720707,2,15,0.24621528933839,0.189251386096683
"301",341720707,3,6,0.236760636884015,0.107891203372409
"302",341720707,4,13,0.170751781890817,0.0691967229719499
"303",341720707,5,9,0.0985169541782314,0.0473384181633851
"304",341720707,6,0,0.0473669545010553,0.0337342238723728
"305",341720707,7,0,0.0195205998290492,0.0247264722874899
"306",341720707,8,0,0.00703912873409909,0.018501563915451
"307",341720707,9,0,0.0022562755365737,0.0140635235583058
"308",341720707,10,1,0.000650890407082917,0.0108236784455676
"309",341720701,1,82,0.484513318124176,0.219855589879873
"310",341720701,2,102,0.249760162684477,0.148099442651086
"311",341720701,3,13,0.128748037526987,0.0997629622496591
"312",341720701,4,4,0.0663678986628106,0.0672024719247242
"313",341720701,5,7,0.0342117678647632,0.0452690270111619
"314",341720701,6,5,0.0176357106977127,0.0304941879047661
"315",341720701,7,5,0.0090909739900859,0.0205415392679392
"316",341720701,8,0,0.0046862760171688,0.0138372215982292
"317",341720701,9,0,0.0024157128744446,0.00932104936543582
"318",341720701,10,0,0.00124526781401215,0.00627885884865863
"319",341720701,11,1,0.000641918973491886,0.00422957404212133
"320",341720801,1,72,0.285683653840044,0.206761160948132
"321",341720801,2,147,0.305434425861273,0.146374394587239
"322",341720801,3,41,0.217700446507261,0.10362421691062
"323",341720801,4,17,0.116375595864365,0.0733596771526826
"324",341720801,5,18,0.0497684943878485,0.0519342137619018
