CODE_IRIS,id_2,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
341720703,220565,2,2,1,3,2,4,2,2,1,1,1,1,3,2
341721903,293100,2,2,1,4,3,5,2.5,2.5,1.5,1,1,1,4,3
342590101,152852,3,2,1,2,1,5,1.66666666666667,2,0.471404520791032,1,2,1.5,2,0.5
341980103,339062,4,1,1,1,0,4,1,1,0,1,1,1,1,0
342700103,188535,1,1,1,1,0,1,1,1,0,1,1,1,1,0
342020102,119414,5,2,2,3,1,11,2.2,2,0.4,3,2,2,2,0
342170102,262125,2,1,1,1,0,2,1,1,0,1,1,1,1,0
342560000,431792,4,2,1,2,1,6,1.5,1.5,0.5,1,1,1,2,1
342590101,143940,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341721303,250076,2,1,1,1,0,2,1,1,0,1,1,1,1,0
341720204,259543,2,2,1,6,5,7,3.5,3.5,2.5,1,1,1,6,5
342170101,254628,3,1,1,1,0,3,1,1,0,1,1,1,1,0
342170102,262836,3,1,1,1,0,3,1,1,0,1,1,1,1,0
342560000,438624,2,1,1,1,0,2,1,1,0,1,1,1,1,0
340270000,434445,3,2,2,3,1,7,2.33333333333333,2,0.471404520791032,3,2,2,2.5,0.5
343070000,416041,3,2,1,2,1,4,1.33333333333333,1,0.471404520791032,2,1,1,1.5,0.5
341720503,193856,12,2,1,2,1,20,1.66666666666667,2,0.471404520791032,1,2,1,2,1
342490000,379031,3,2,1,2,1,4,1.33333333333333,1,0.471404520791032,2,1,1,1.5,0.5
342170102,262157,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341722602,252083,7,4,2,5,3,20,2.85714285714286,2,1.12485826771597,3,2,2,3.5,1.5
341721401,223375,2,2,1,4,3,5,2.5,2.5,1.5,1,1,1,4,3
341721502,264408,2,1,2,2,0,4,2,2,0,2,2,2,2,0
342440000,437330,14,3,1,3,2,25,1.78571428571429,2,0.557874976850475,3,2,1,2,1
340570107,298488,3,1,2,2,0,6,2,2,0,2,2,2,2,0
341721904,301301,1,1,4,4,0,4,4,4,0,4,4,4,4,0
341290109,300012,3,1,1,1,0,3,1,1,0,1,1,1,1,0
341722303,249978,4,3,1,5,4,11,2.75,2.5,1.78535710713571,4,1,1,4.5,3.5
341723001,263692,10,6,1,7,6,46,4.6,4.5,1.74355957741627,1,4,4,6,2
340900101,336108,7,3,1,3,2,14,2,2,0.534522483824849,1,2,2,2,0
340900101,331319,1,1,3,3,0,3,3,3,0,3,3,3,3,0
341721002,234292,6,2,1,2,1,9,1.5,1.5,0.5,1,1,1,2,1
340570107,297829,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
341722601,252071,19,4,2,5,3,59,3.10526315789474,3,0.717799036683466,5,3,3,3,0
341720603,208951,9,2,1,2,1,13,1.44444444444444,1,0.496903994999953,2,1,1,2,1
340580101,391463,1,1,2,2,0,2,2,2,0,2,2,2,2,0
343070000,409864,6,2,1,2,1,9,1.5,1.5,0.5,1,1,1,2,1
341290104,314367,6,2,1,2,1,7,1.16666666666667,1,0.372677996249965,2,1,1,1,0
343370103,219432,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
340770101,288891,4,2,1,2,1,6,1.5,1.5,0.5,1,1,1,2,1
341720402,199345,1,1,15,15,0,15,15,15,0,15,15,15,15,0
340570107,290978,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
341290101,299363,3,2,1,2,1,4,1.33333333333333,1,0.471404520791032,2,1,1,1.5,0.5
342700101,183062,4,1,2,2,0,8,2,2,0,2,2,2,2,0
340770101,274533,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
340950102,148214,3,2,1,2,1,4,1.33333333333333,1,0.471404520791032,2,1,1,1.5,0.5
341721501,268513,2,1,2,2,0,4,2,2,0,2,2,2,2,0
343270101,362781,3,2,1,2,1,5,1.66666666666667,2,0.471404520791032,1,2,1.5,2,0.5
341720703,231518,4,1,3,3,0,12,3,3,0,3,3,3,3,0
341290109,291819,2,1,1,1,0,2,1,1,0,1,1,1,1,0
