"CODE_IRIS","NB_NIV"
"341160101",3
"341160101",3
"341160101",2
"341160102",2
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",3
"341160101",1
"341160101",2
"341160101",1
"341160101",2
"341160101",3
"341160101",3
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",3
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341230102",2
"341160101",2
"341160101",1
"341160101",2
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",3
"341160101",2
"341160101",1
"341160101",2
"341160101",2
"341160101",3
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",1
"341160101",2
"341160101",3
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",2
"341160101",3
"341160101",3
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",3
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160102",2
"341160102",1
"341160102",2
"341160101",2
"341160101",1
"341160101",1
"341160102",1
"341160102",1
"341160102",1
"341160102",1
"341160102",1
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",2
"341160102",2
"341160102",1
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160102",1
"341160101",2
"341160101",3
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160102",1
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",1
"341160101",2
"341160101",1
"341160101",2
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",1
"341160101",1
"341160101",1
"341160101",1
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",2
"341160101",2
"341160101",2
"341160101",1
"341160101",1
"341160101",2
"341160101",1
"341160102",1
"341160102",1
"341160102",2
"341160102",2
"341160102",2
"341160102",2
"341160102",2
"341160102",1
"341160102",2
"341160102",1
"341160102",1
"341160102",1
"341160102",2
"341160102",1
"341160102",2
"341160102",1
"341160102",2
"341160102",1
"341160102",2
"341160102",1
"341160102",1
"341160102",1
"341160102",2
"341160102",2
"341160102",1
"341160102",2
"341160102",3
"341160102",3
"341160102",1
"341160102",1
"341160102",1
"341160102",2
"341160102",1
"341160102",1
"341160102",1
"341160102",3
"341160102",1
"341160102",1
"341160102",1
"341160102",2
"341160102",2
"341160102",3
"341160102",2
"341160102",2
"341160102",2
"341160102",2
"341160102",1
"341160102",2
"341160102",2
"341160102",2
"341160102",2
"341160102",2
"341160102",1
"341160102",2
"341160102",2
"341160102",2
"341160102",2
"341160102",1
"341160102",2
"341160102",2
"341230102",2
"341230102",1
"341230102",2
"341230102",2
"341230102",2
"341230102",1
"341160102",3
"341160102",2
"341160102",1
"341160102",1
"341160102",1
"341160101",2
"341230102",3
"341230102",1
"341160102",1
"341160102",1
"341160102",2
"341160102",2
