"","taux","scenario","densifyGround","maxBuiltRatio","maximumDensity","PopNotPutUp","UnbuiltArea","AvgCellPop","AreaExpansion","BuiltFloorArea","CellesOpenTiUrb","AvgArtifRate","impact","GrndDensifiedCells"
"87",0,"reduction",FALSE,92,FALSE,0,0,NA,0,0,0,NA,0,0
"88",0,"reduction",FALSE,92,TRUE,0,0,NA,0,0,0,NA,0,0
"89",0,"reduction",FALSE,93,FALSE,0,0,NA,0,0,0,NA,0,0
"90",0,"reduction",FALSE,93,TRUE,0,0,NA,0,0,0,NA,0,0
"91",0,"reduction",FALSE,94,FALSE,0,0,NA,0,0,0,NA,0,0
"92",0,"reduction",FALSE,94,TRUE,0,0,NA,0,0,0,NA,0,0
"93",0,"reduction",FALSE,95,FALSE,0,0,NA,0,0,0,NA,0,0
"94",0,"reduction",FALSE,95,TRUE,0,0,NA,0,0,0,NA,0,0
"95",0,"reduction",FALSE,96,FALSE,0,0,NA,0,0,0,NA,0,0
"96",0,"reduction",FALSE,96,TRUE,0,0,NA,0,0,0,NA,0,0
"97",0,"reduction",FALSE,97,FALSE,0,0,NA,0,0,0,NA,0,0
"98",0,"reduction",FALSE,97,TRUE,0,0,NA,0,0,0,NA,0,0
"99",0,"reduction",FALSE,98,FALSE,0,0,NA,0,0,0,NA,0,0
"100",0,"reduction",FALSE,98,TRUE,0,0,NA,0,0,0,NA,0,0
"101",0,"reduction",FALSE,99,FALSE,0,0,NA,0,0,0,NA,0,0
"102",0,"reduction",FALSE,99,TRUE,0,0,NA,0,0,0,NA,0,0
"103",0,"reduction",TRUE,100,FALSE,0,0,NA,0,0,0,NA,0,0
"104",0,"reduction",TRUE,100,TRUE,0,0,NA,0,0,0,NA,0,0
"105",0,"reduction",TRUE,50,FALSE,0,0,NA,0,0,0,NA,0,0
"106",0,"reduction",TRUE,50,TRUE,0,0,NA,0,0,0,NA,0,0
"107",0,"reduction",TRUE,51,FALSE,0,0,NA,0,0,0,NA,0,0
"108",0,"reduction",TRUE,51,TRUE,0,0,NA,0,0,0,NA,0,0
"109",0,"reduction",TRUE,52,FALSE,0,0,NA,0,0,0,NA,0,0
"110",0,"reduction",TRUE,52,TRUE,0,0,NA,0,0,0,NA,0,0
"111",0,"reduction",TRUE,53,FALSE,0,0,NA,0,0,0,NA,0,0
"112",0,"reduction",TRUE,53,TRUE,0,0,NA,0,0,0,NA,0,0
"113",0,"reduction",TRUE,54,FALSE,0,0,NA,0,0,0,NA,0,0
"114",0,"reduction",TRUE,54,TRUE,0,0,NA,0,0,0,NA,0,0
"115",0,"reduction",TRUE,55,FALSE,0,0,NA,0,0,0,NA,0,0
"116",0,"reduction",TRUE,55,TRUE,0,0,NA,0,0,0,NA,0,0
"117",0,"reduction",TRUE,56,FALSE,0,0,NA,0,0,0,NA,0,0
"118",0,"reduction",TRUE,56,TRUE,0,0,NA,0,0,0,NA,0,0
"119",0,"reduction",TRUE,57,FALSE,0,0,NA,0,0,0,NA,0,0
"120",0,"reduction",TRUE,57,TRUE,0,0,NA,0,0,0,NA,0,0
"121",0,"reduction",TRUE,58,FALSE,0,0,NA,0,0,0,NA,0,0
"122",0,"reduction",TRUE,58,TRUE,0,0,NA,0,0,0,NA,0,0
"123",0,"reduction",TRUE,59,FALSE,0,0,NA,0,0,0,NA,0,0
"124",0,"reduction",TRUE,59,TRUE,0,0,NA,0,0,0,NA,0,0
"125",0,"reduction",TRUE,60,FALSE,0,0,NA,0,0,0,NA,0,0
"126",0,"reduction",TRUE,60,TRUE,0,0,NA,0,0,0,NA,0,0
"127",0,"reduction",TRUE,61,FALSE,0,0,NA,0,0,0,NA,0,0
"128",0,"reduction",TRUE,61,TRUE,0,0,NA,0,0,0,NA,0,0
"129",0,"reduction",TRUE,62,FALSE,0,0,NA,0,0,0,NA,0,0
"130",0,"reduction",TRUE,62,TRUE,0,0,NA,0,0,0,NA,0,0
"131",0,"reduction",TRUE,63,FALSE,0,0,NA,0,0,0,NA,0,0
"132",0,"reduction",TRUE,63,TRUE,0,0,NA,0,0,0,NA,0,0
"133",0,"reduction",TRUE,64,FALSE,0,0,NA,0,0,0,NA,0,0
"134",0,"reduction",TRUE,64,TRUE,0,0,NA,0,0,0,NA,0,0
"135",0,"reduction",TRUE,65,FALSE,0,0,NA,0,0,0,NA,0,0
"136",0,"reduction",TRUE,65,TRUE,0,0,NA,0,0,0,NA,0,0
"137",0,"reduction",TRUE,66,FALSE,0,0,NA,0,0,0,NA,0,0
"138",0,"reduction",TRUE,66,TRUE,0,0,NA,0,0,0,NA,0,0
"139",0,"reduction",TRUE,67,FALSE,0,0,NA,0,0,0,NA,0,0
"140",0,"reduction",TRUE,67,TRUE,0,0,NA,0,0,0,NA,0,0
"141",0,"reduction",TRUE,68,FALSE,0,0,NA,0,0,0,NA,0,0
"142",0,"reduction",TRUE,68,TRUE,0,0,NA,0,0,0,NA,0,0
"143",0,"reduction",TRUE,69,FALSE,0,0,NA,0,0,0,NA,0,0
"144",0,"reduction",TRUE,69,TRUE,0,0,NA,0,0,0,NA,0,0
"145",0,"reduction",TRUE,70,FALSE,0,0,NA,0,0,0,NA,0,0
"146",0,"reduction",TRUE,70,TRUE,0,0,NA,0,0,0,NA,0,0
"147",0,"reduction",TRUE,71,FALSE,0,0,NA,0,0,0,NA,0,0
