CODE_IRIS,NB_NIV,effectif,poidsNormalise_a_l_IRIS
341720405,12,1,0.05555555555555555
341720405,15,1,0.05555555555555555
341720405,16,1,0.05555555555555555
341720501,1,121,0.39285714285714285
341720501,2,134,0.43506493506493504
341720501,3,31,0.10064935064935066
341720501,4,6,0.01948051948051948
341720501,5,7,0.022727272727272728
341720501,6,2,0.006493506493506494
341720501,10,1,0.003246753246753247
341720501,11,3,0.00974025974025974
341720501,12,1,0.003246753246753247
341720501,13,1,0.003246753246753247
341720501,17,1,0.003246753246753247
341720502,1,155,0.43661971830985913
341720502,2,177,0.49859154929577465
341720502,3,4,0.011267605633802818
341720502,4,7,0.01971830985915493
341720502,5,7,0.01971830985915493
341720502,6,2,0.005633802816901409
341720502,7,1,0.0028169014084507044
341720502,8,1,0.0028169014084507044
341720502,10,1,0.0028169014084507044
341720503,1,149,0.48534201954397393
341720503,2,129,0.4201954397394137
341720503,3,16,0.05211726384364821
341720503,4,6,0.019543973941368076
341720503,5,2,0.006514657980456026
341720503,6,2,0.006514657980456026
341720503,7,2,0.006514657980456026
341720503,16,1,0.003257328990228013
341720602,1,30,0.16042780748663102
341720602,2,68,0.36363636363636365
341720602,3,61,0.32620320855614976
341720602,4,25,0.13368983957219252
341720602,5,2,0.0106951871657754
341720602,6,1,0.0053475935828877
341720603,1,89,0.2535612535612536
341720603,2,163,0.46438746438746437
341720603,3,73,0.20797720797720798
341720603,4,14,0.039886039886039885
341720603,5,7,0.019943019943019943
341720603,6,5,0.014245014245014245
341720701,1,82,0.3744292237442922
341720701,2,102,0.4657534246575342
341720701,3,13,0.0593607305936073
341720701,4,4,0.0182648401826484
341720701,5,7,0.0319634703196347
341720701,6,5,0.0228310502283105
341720701,7,5,0.0228310502283105
341720701,11,1,0.0045662100456621
341720702,1,191,0.5650887573964497
341720702,2,111,0.32840236686390534
341720702,3,16,0.047337278106508875
341720702,4,5,0.014792899408284023
341720702,5,11,0.03254437869822485
341720702,7,3,0.008875739644970414
341720702,11,1,0.0029585798816568047
341720703,1,69,0.350253807106599
341720703,2,69,0.350253807106599
341720703,3,34,0.17258883248730963
341720703,4,15,0.07614213197969544
341720703,5,5,0.025380710659898477
341720703,8,2,0.01015228426395939
341720703,9,3,0.015228426395939087
341720704,1,280,0.4827586206896552
341720704,2,274,0.4724137931034483
341720704,3,24,0.041379310344827586
341720704,4,2,0.0034482758620689655
341720705,1,38,0.2261904761904762
341720705,2,65,0.3869047619047619
341720705,3,23,0.13690476190476192
341720705,4,17,0.10119047619047619
341720705,5,21,0.125
341720705,6,1,0.005952380952380952
341720705,7,3,0.017857142857142856
341720706,1,6,0.16216216216216217
341720706,2,11,0.2972972972972973
341720706,3,13,0.35135135135135137
341720706,4,6,0.16216216216216217
341720706,5,1,0.02702702702702703
341720707,1,10,0.18518518518518517
341720707,2,15,0.2777777777777778
341720707,3,6,0.1111111111111111
341720707,4,13,0.24074074074074073
341720707,5,9,0.16666666666666666
341720707,10,1,0.018518518518518517
341720801,1,72,0.23300970873786409
341720801,2,147,0.47572815533980584
341720801,3,41,0.13268608414239483
341720801,4,17,0.05501618122977346
341720801,5,18,0.05825242718446602
341720801,6,5,0.016181229773462782
341720801,7,4,0.012944983818770227
341720801,8,3,0.009708737864077669
341720801,9,1,0.003236245954692557
341720801,11,1,0.003236245954692557
341720802,1,61,0.23018867924528302
341720802,2,98,0.36981132075471695
341720802,3,69,0.26037735849056604
341720802,4,24,0.09056603773584905
341720802,5,10,0.03773584905660377
341720802,6,3,0.011320754716981131
341720803,1,131,0.2911111111111111
341720803,2,220,0.4888888888888889
341720803,3,67,0.14888888888888888
341720803,4,11,0.024444444444444446
341720803,5,14,0.03111111111111111
341720803,6,4,0.008888888888888889
341720803,7,1,0.0022222222222222222
341720803,8,1,0.0022222222222222222
341720803,9,1,0.0022222222222222222
341720901,1,531,0.5537017726798749
341720901,2,391,0.40771637122002086
341720901,3,34,0.035453597497393116
341720901,4,3,0.0031282586027111575
341720902,1,509,0.5131048387096774
341720902,2,442,0.44556451612903225
341720902,3,26,0.02620967741935484
341720902,4,6,0.006048387096774193
341720902,5,3,0.0030241935483870967
341720902,6,2,0.0020161290322580645
341720902,7,2,0.0020161290322580645
341720902,9,2,0.0020161290322580645
341721001,1,283,0.5117540687160941
341721001,2,199,0.35985533453887886
341721001,3,31,0.05605786618444846
341721001,4,11,0.019891500904159132
341721001,5,17,0.03074141048824593
341721001,6,5,0.009041591320072333
341721001,7,3,0.0054249547920434
341721001,8,4,0.007233273056057866
341721002,1,252,0.47368421052631576
341721002,2,239,0.4492481203007519
341721002,3,24,0.045112781954887216
341721002,4,5,0.009398496240601503
341721002,5,11,0.020676691729323307
341721002,6,1,0.0018796992481203006
341721101,1,182,0.5069637883008357
341721101,2,143,0.3983286908077994
341721101,3,17,0.04735376044568245
341721101,4,5,0.013927576601671309
341721101,5,7,0.019498607242339833
341721101,6,3,0.008356545961002786
341721101,8,1,0.002785515320334262
341721101,9,1,0.002785515320334262
341721102,1,136,0.29310344827586204
341721102,2,246,0.5301724137931034
341721102,3,49,0.10560344827586207
341721102,4,13,0.028017241379310345
341721102,5,14,0.03017241379310345
341721102,6,5,0.010775862068965518
341721102,7,1,0.0021551724137931034
341721103,1,166,0.5303514376996805
341721103,2,84,0.268370607028754
341721103,3,28,0.08945686900958466
341721103,4,10,0.03194888178913738
341721103,5,15,0.04792332268370607
341721103,6,5,0.01597444089456869
341721103,7,3,0.009584664536741214
341721103,8,2,0.006389776357827476
341721201,1,161,0.43869209809264303
341721201,2,126,0.34332425068119893
341721201,3,37,0.1008174386920981
341721201,4,26,0.07084468664850137
341721201,5,10,0.027247956403269755
341721201,6,2,0.005449591280653951
341721201,8,4,0.010899182561307902
341721201,9,1,0.0027247956403269754
341721202,1,29,0.2396694214876033
341721202,2,70,0.5785123966942148
341721202,3,5,0.04132231404958678
341721202,4,4,0.03305785123966942
341721202,5,4,0.03305785123966942
341721202,6,6,0.049586776859504134
341721202,7,2,0.01652892561983471
341721202,8,1,0.008264462809917356
341721203,1,140,0.39660056657223797
341721203,2,137,0.3881019830028329
341721203,3,16,0.0453257790368272
341721203,4,27,0.0764872521246459
341721203,5,28,0.07932011331444759
341721203,6,3,0.0084985835694051
341721203,8,1,0.0028328611898017
341721203,10,1,0.0028328611898017
341721301,1,398,0.7223230490018149
341721301,2,80,0.14519056261343014
341721301,3,31,0.056261343012704176
341721301,4,19,0.034482758620689655
341721301,5,14,0.025408348457350273
341721301,6,7,0.012704174228675136
341721301,7,1,0.0018148820326678765
341721301,9,1,0.0018148820326678765
341721302,1,271,0.46324786324786327
341721302,2,227,0.38803418803418804
341721302,3,55,0.09401709401709402
341721302,4,19,0.03247863247863248
341721302,5,2,0.003418803418803419
341721302,6,4,0.006837606837606838
341721302,7,3,0.005128205128205128
341721302,8,3,0.005128205128205128
341721302,10,1,0.0017094017094017094
341721303,1,98,0.40329218106995884
341721303,2,132,0.5432098765432098
341721303,3,13,0.053497942386831275
341721401,1,238,0.43669724770642204
341721401,2,208,0.381651376146789
341721401,3,44,0.08073394495412844
341721401,4,26,0.047706422018348627
341721401,5,18,0.03302752293577982
341721401,6,6,0.011009174311926606
341721401,7,4,0.007339449541284404
341721401,8,1,0.001834862385321101
341721402,1,7,0.3333333333333333
341721402,2,2,0.09523809523809523
341721402,4,7,0.3333333333333333
341721402,5,5,0.23809523809523808
341721501,1,151,0.24794745484400657
341721501,2,310,0.5090311986863711
341721501,3,114,0.18719211822660098
341721501,4,15,0.024630541871921183
341721501,5,16,0.026272577996715927
341721501,6,3,0.0049261083743842365
341721502,1,171,0.45478723404255317
341721502,2,161,0.42819148936170215
341721502,3,12,0.031914893617021274
341721502,4,5,0.013297872340425532
341721502,5,14,0.03723404255319149
341721502,6,2,0.005319148936170213
341721502,7,9,0.023936170212765957
341721502,8,1,0.0026595744680851063
341721502,18,1,0.0026595744680851063
341721601,1,121,0.39672131147540984
341721601,2,115,0.3770491803278688
341721601,3,30,0.09836065573770492
341721601,4,9,0.029508196721311476
341721601,5,17,0.05573770491803279
341721601,6,7,0.022950819672131147
341721601,7,4,0.013114754098360656
341721601,8,1,0.003278688524590164
341721601,10,1,0.003278688524590164
341721602,1,220,0.36666666666666664
341721602,2,302,0.5033333333333333
341721602,3,43,0.07166666666666667
341721602,4,12,0.02
341721602,5,16,0.02666666666666667
341721602,6,6,0.01
341721602,7,1,0.0016666666666666668
341721603,1,223,0.5126436781609195
341721603,2,173,0.39770114942528734
341721603,3,25,0.05747126436781609
341721603,4,6,0.013793103448275862
341721603,6,2,0.004597701149425287
341721603,7,5,0.011494252873563218
341721603,8,1,0.0022988505747126436
341721701,1,50,0.28735632183908044
341721701,2,70,0.40229885057471265
341721701,3,33,0.1896551724137931
341721701,4,17,0.09770114942528736
341721701,5,2,0.011494252873563218
341721701,6,1,0.005747126436781609
341721701,7,1,0.005747126436781609
341721802,1,37,0.29365079365079366
341721802,2,18,0.14285714285714285
341721802,3,3,0.023809523809523808
341721802,4,7,0.05555555555555555
341721802,5,9,0.07142857142857142
341721802,6,43,0.3412698412698413
341721802,7,8,0.06349206349206349
341721802,10,1,0.007936507936507936
341721803,1,73,0.2579505300353357
341721803,2,118,0.4169611307420495
341721803,3,30,0.10600706713780919
341721803,4,7,0.024734982332155476
341721803,5,7,0.024734982332155476
341721803,6,11,0.038869257950530034
341721803,7,16,0.05653710247349823
341721803,8,7,0.024734982332155476
341721803,9,4,0.014134275618374558
341721803,10,7,0.024734982332155476
341721803,15,3,0.01060070671378092
341721804,1,103,0.30029154518950435
341721804,2,101,0.2944606413994169
341721804,3,31,0.09037900874635568
341721804,4,20,0.05830903790087463
341721804,5,27,0.07871720116618076
341721804,6,18,0.052478134110787174
341721804,7,21,0.061224489795918366
341721804,8,9,0.026239067055393587
341721804,9,10,0.029154518950437316
341721804,10,2,0.0058309037900874635
341721804,11,1,0.0029154518950437317
341721901,1,12,0.48
341721901,2,8,0.32
341721901,3,1,0.04
341721901,4,2,0.08
341721901,5,2,0.08
341721903,1,158,0.5080385852090032
341721903,2,86,0.2765273311897106
341721903,3,47,0.15112540192926044
341721903,4,19,0.06109324758842444
341721903,5,1,0.003215434083601286
341721904,1,181,0.4132420091324201
341721904,2,140,0.319634703196347
341721904,3,46,0.1050228310502283
341721904,4,51,0.11643835616438356
341721904,5,15,0.03424657534246575
341721904,6,3,0.00684931506849315
341721904,7,1,0.00228310502283105
341721904,8,1,0.00228310502283105
341722001,1,7,0.02413793103448276
341722001,2,22,0.07586206896551724
341722001,3,50,0.1724137931034483
341722001,4,88,0.30344827586206896
341722001,5,80,0.27586206896551724
341722001,6,35,0.1206896551724138
341722001,7,8,0.027586206896551724
341722002,1,19,0.04714640198511166
341722002,2,82,0.20347394540942929
341722002,3,149,0.369727047146402
341722002,4,111,0.27543424317617865
341722002,5,34,0.08436724565756824
341722002,6,3,0.007444168734491315
341722002,7,3,0.007444168734491315
341722002,8,2,0.004962779156327543
341722003,1,13,0.038461538461538464
341722003,2,47,0.1390532544378698
341722003,3,108,0.31952662721893493
341722003,4,91,0.2692307692307692
341722003,5,56,0.16568047337278108
341722003,6,16,0.047337278106508875
341722003,7,6,0.01775147928994083
341722003,8,1,0.0029585798816568047
341722101,1,64,0.4413793103448276
341722101,2,49,0.33793103448275863
341722101,3,9,0.06206896551724138
341722101,4,6,0.041379310344827586
341722101,5,8,0.05517241379310345
341722101,6,2,0.013793103448275862
341722101,7,5,0.034482758620689655
341722101,8,2,0.013793103448275862
341722102,1,279,0.6227678571428571
341722102,2,139,0.31026785714285715
341722102,3,16,0.03571428571428571
341722102,4,6,0.013392857142857142
341722102,5,1,0.002232142857142857
341722102,6,3,0.006696428571428571
341722102,7,3,0.006696428571428571
341722102,8,1,0.002232142857142857
341722201,1,242,0.5365853658536586
341722201,2,175,0.38802660753880264
341722201,3,20,0.04434589800443459
341722201,4,5,0.011086474501108648
341722201,5,5,0.011086474501108648
341722201,6,2,0.004434589800443459
341722201,7,1,0.0022172949002217295
341722201,8,1,0.0022172949002217295
341722202,1,97,0.303125
341722202,2,159,0.496875
341722202,3,24,0.075
341722202,4,3,0.009375
341722202,5,22,0.06875
341722202,6,8,0.025
341722202,7,4,0.0125
341722202,8,2,0.00625
341722202,9,1,0.003125
341722301,1,125,0.34153005464480873
341722301,2,139,0.3797814207650273
341722301,3,60,0.16393442622950818
341722301,4,15,0.040983606557377046
341722301,5,23,0.06284153005464481
341722301,6,2,0.00546448087431694
341722301,7,1,0.00273224043715847
341722301,9,1,0.00273224043715847
341722302,1,108,0.26150121065375304
341722302,2,135,0.3268765133171913
341722302,3,94,0.22760290556900725
341722302,4,43,0.10411622276029056
341722302,5,16,0.0387409200968523
341722302,6,11,0.026634382566585957
341722302,7,4,0.009685230024213076
341722302,8,2,0.004842615012106538
341722303,1,77,0.32083333333333336
341722303,2,96,0.4
341722303,3,31,0.12916666666666668
341722303,4,20,0.08333333333333333
341722303,5,16,0.06666666666666667
341722304,1,49,0.29878048780487804
341722304,2,66,0.4024390243902439
341722304,3,8,0.04878048780487805
