"","surface","dBestAD","dBestCVM","dBestKS","dBestAIC","CODE_IRIS"
"76",130,0.00273328762868893,0.00273328762868893,0.00272280160412681,0.00272280160412681,"340570107"
"77",150,0.00225002851376686,0.00225002851376686,0.00222787595775625,0.00222787595775625,"340570107"
"78",170,0.00185221206126494,0.00185221206126494,0.0018229133094477,0.0018229133094477,"340570107"
"79",190,0.00152473157513541,0.00152473157513541,0.00149156101900227,0.00149156101900227,"340570107"
"80",210,0.00125515129980701,0.00125515129980701,0.00122043887763437,0.00122043887763437,"340570107"
"81",230,0.00103323418436279,0.00103323418436279,0.000998598806931653,0.000998598806931653,"340570107"
"82",250,0.000850553140406247,0.000850553140406247,0.00081708276873172,0.00081708276873172,"340570107"
"83",270,0.000700171031508299,0.000700171031508299,0.000668561034044964,0.000668561034044964,"340570107"
"84",290,0.00057637724214297,0.00057637724214297,0.000547036204100922,0.000547036204100922,"340570107"
"85",310,0.000474470822571297,0.000474470822571297,0.000447601031706283,0.000447601031706283,"340570107"
"86",330,0.00039058197480955,0.00039058197480955,0.00036624026359244,0.00036624026359244,"340570107"
"87",350,0.000321525100783629,0.000321525100783629,0.000299668502024985,0.000299668502024985,"340570107"
"88",370,0.00026467783231505,0.00026467783231505,0.000245197538427482,0.000245197538427482,"340570107"
"89",390,0.000217881449218911,0.000217881449218911,0.000200627801869827,0.000200627801869827,"340570107"
"90",410,0.000179358903987191,0.000179358903987191,0.000164159539044569,0.000164159539044569,"340570107"
"91",430,0.000147647340123779,0.000147647340123779,0.00013432013912414,0.00013432013912414,"340570107"
"92",450,0.000121542541580114,0.000121542541580114,0.000109904668832129,0.000109904668832129,"340570107"
"93",470,0.000100053203812336,0.000100053203812336,8.99272164983115e-05,8.99272164983115e-05,"340570107"
"94",490,8.23632899474496e-05,8.23632899474496e-05,7.35810803405118e-05,7.35810803405118e-05,"340570107"
"95",510,6.78010425702255e-05,6.78010425702255e-05,6.02061933516925e-05,6.02061933516925e-05,"340570107"
"96",530,5.58134743833393e-05,5.58134743833393e-05,4.9262469389236e-05,4.9262469389236e-05,"340570107"
"97",550,4.59453690481697e-05,4.59453690481697e-05,4.03079941651417e-05,4.03079941651417e-05,"340570107"
"98",570,3.78219947834434e-05,3.78219947834434e-05,3.29811804759448e-05,3.29811804759448e-05,"340570107"
"99",590,3.11348742873098e-05,3.11348742873098e-05,2.69861670895927e-05,2.69861670895927e-05,"340570107"
"100",610,2.56300706093622e-05,2.56300706093622e-05,2.20808716873726e-05,2.20808716873726e-05,"340570107"
"101",630,2.10985441398952e-05,2.10985441398952e-05,1.8067215431355e-05,1.8067215431355e-05,"340570107"
"102",650,1.73682145323666e-05,1.73682145323666e-05,1.4783124419389e-05,1.4783124419389e-05,"340570107"
"103",670,1.42974261182273e-05,1.42974261182273e-05,1.20959850414948e-05,1.20959850414948e-05,"340570107"
